table_name,table_type,column_name,units,total_rows,count,missing_count,missing_pct,material_count,min_val,max_val,mean_val,median_val,std_val,iqr_val,mad_val
physical_properties,table,frequency_hz,Hz,167,30,137,82.04,23.0,0.0,300000000000000.0,30000000000600.0,1000.0,91538572988605.95,1000.0,0.0
physical_properties,table,wavelength_nm,nm,167,117,50,29.94,23.0,0.07093,633.0,16.3407162650337,0.123984,100.46561298328113,0.08312800000000001,0.030076000000000006
physical_properties,table,energy_ev,eV,167,114,53,31.74,23.0,8040.0,17479.3,12220.006140350879,11000.0,4067.748522310397,9352.2,2960.0
rheology,table,viscosity_pas,Pa·s,7,7,0,0.0,6.0,0.0008900000000000001,0.08,0.0214218,0.001987,0.03371360343857259,0.0314622,0.0010969999999999999
rheology,table,shear_rate_s_inv,s⁻¹,7,0,7,100.0,6.0,,,,,,,
rheology,table,temperature_c,°C,7,7,0,0.0,6.0,20.0,25.0,24.285714285714285,25.0,1.889822365046136,0.0,0.0
sources,table,year,year,41,0,41,100.0,,,,,,,,
sources,table,uncertainty,dimensionless,41,0,41,100.0,,,,,,,,
consensus_summary,view,consensus_value,mixed,122,122,0,0.0,23.0,-24.0,86.0,3.242006005838817,1.02,12.042195902449086,2.2374905649000696,1.0199947523182584
consensus_summary,view,std_dev,mixed,122,122,0,0.0,23.0,0.0,1.2020815280171226,0.020378078810855547,0.0,0.12306072449755712,0.0,0.0
consensus_summary,view,num_sources,count,122,122,0,0.0,23.0,1.0,2.0,1.3770491803278688,1.0,0.486645947844058,1.0,0.0
consensus_summary,view,confidence_score,dimensionless,122,122,0,0.0,23.0,0.0,1.0,0.6689829128879756,0.5,0.25200757705383475,0.5,0.0
material_summary,view,molecular_weight,g/mol,23,23,0,0.0,23.0,18.015,66432.0,3117.742242173913,81.38,13812.8222019153,96.37728499999999,29.383999999999993
spr_data,view,wavelength_nm,nm,870,870,0,0.0,23.0,600.0,1000.0,797.3492030037086,795.1703406813626,117.04895811852052,203.29899799599195,102.20440881763528
spr_data,view,n,dimensionless,870,870,0,0.0,23.0,0.13,3.906,1.5173535463427474,1.4883729748964438,0.2769459031138046,0.10917260719021304,0.08457050214699402
spr_data,view,k,dimensionless,870,119,751,86.32,23.0,0.0,6.35,0.43033726809245837,1.752920752936524e-07,1.3195590829388533,7.818396517052118e-07,1.1770792470634758e-07
spr_data,view,eps_real,dimensionless,870,119,751,86.32,23.0,-40.2741,15.256352000000001,0.8281924650053025,1.8377369377161776,7.329985279848467,0.010937850449648234,0.006608624879054892
spr_data,view,eps_imag,dimensionless,870,119,751,86.32,23.0,0.0,28.9476,0.7565813270593768,4.753320261123994e-07,4.005653756723052,2.1172587680991583e-06,3.034619738876005e-07
spr_data,view,temperature_c,°C,870,599,271,31.15,23.0,19.850000000000023,25.0,20.22495826377298,19.850000000000023,1.1958326285532992,0.25,0.0
xrr_data,view,density_g_cm3,g/cm³,137,23,114,83.21,23.0,0.789,19.32,3.4360000000000004,1.32,4.320508461238835,3.035,0.3500000000000001
xrr_data,view,xray_sld,Å⁻²,137,114,23,16.79,23.0,7.556398086204237e-06,0.00013149958483173516,2.802482854657475e-05,1.165475741136168e-05,3.135883102333912e-05,2.457347021962263e-05,2.7747163336898166e-06
xrr_data,view,neutron_sld,Å⁻²,137,114,23,16.79,23.0,-5.60996759557702e-07,5.728294429764093e-06,1.7982703466691304e-06,1.4111619128033947e-06,1.7187280395690663e-06,3.2402531580253295e-06,1.3480974745443913e-06
xrr_data,view,energy_ev,eV,137,114,23,16.79,23.0,8040.0,17479.3,12220.006140350879,11000.0,4067.748522310397,9352.2,2960.0
xrr_data,view,wavelength_nm,nm,137,114,23,16.79,23.0,0.07093,0.15406,0.1128403772714289,0.11365208041666666,0.0354328878530479,0.08312800000000001,0.04040791958333334
