q (1/Ang),Reflectivity
0.33797595,3.93377534e-05
0.33895792,3.73763273e-05
0.33993988,3.45618871e-05
0.34092184,3.11558932e-05
0.34190381,2.74593956e-05
0.34288577,2.37875572e-05
0.34386774,2.04434389e-05
0.34484970,1.76932622e-05
0.34583166,1.57451962e-05
0.34681363,1.47333785e-05
0.34779559,1.47084042e-05
0.34877756,1.56349471e-05
0.34975952,1.73965604e-05
0.35074148,1.98071019e-05
0.35172345,2.26276815e-05
0.35270541,2.55875893e-05
0.35368737,2.84073657e-05
0.35466934,3.08220367e-05
0.35565130,3.26025717e-05
0.35663327,3.35738208e-05
0.35761523,3.36275235e-05
0.35859719,3.27294362e-05
0.35957916,3.09201405e-05
0.36056112,2.83096410e-05
0.36154309,2.50663794e-05
0.36252505,2.14017468e-05
0.36350701,1.75515281e-05
0.36448898,1.37559299e-05
0.36547094,1.02399223e-05
0.36645291,7.19554626e-06
0.36743487,4.76762745e-06
0.36841683,3.04400600e-06
0.36939880,2.05097327e-06
0.37038076,1.75414221e-06
0.37136273,2.06450378e-06
0.37234469,2.84898266e-06
0.37332665,3.94443555e-06
0.37430862,5.17376735e-06
0.37529058,6.36269230e-06
0.37627255,7.35565108e-06
0.37725451,8.02950714e-06
0.37823647,8.30387510e-06
0.37921844,8.14725636e-06
0.38020040,7.57854456e-06
0.38118236,6.66387894e-06
0.38216433,5.50923239e-06
0.38314629,4.24948671e-06
0.38412826,3.03504059e-06
0.38511022,2.01719133e-06
0.38609218,1.33361545e-06
0.38707415,1.09524027e-06
0.38805611,1.37565355e-06
0.38903808,2.20395639e-06
0.39002004,3.56164837e-06
0.39100200,5.38377152e-06
0.39198397,7.56416481e-06
0.39296593,9.96432435e-06
0.39394790,1.24250583e-05
0.39492986,1.47798942e-05
0.39591182,1.68690600e-05
0.39689379,1.85528244e-05
0.39787575,1.97230580e-05
0.39885772,2.03120398e-05
0.39983968,2.02977889e-05
0.40082164,1.97055028e-05
0.40180361,1.86050262e-05
0.40278557,1.71046116e-05
0.40376754,1.53415432e-05
0.40474950,1.34704564e-05
0.40573146,1.16503673e-05
0.40671343,1.00315173e-05
0.40769539,8.74314277e-06
0.40867735,7.88317743e-06
0.40965932,7.51071987e-06
0.41064128,7.64185039e-06
0.41162325,8.24908857e-06
0.41260521,9.26447247e-06
0.41358717,1.05859353e-05
0.41456914,1.20863849e-05
0.41555110,1.36246749e-05
0.41653307,1.50575154e-05
0.41751503,1.62513084e-05
0.41849699,1.70929244e-05
0.41947896,1.74985439e-05
0.42046092,1.74198693e-05
0.42144289,1.68472519e-05
0.42242485,1.58095453e-05
0.42340681,1.43707782e-05
0.42438878,1.26240060e-05
0.42537074,1.06829301e-05
0.42635271,8.67204727e-06
0.42733467,6.71619903e-06
0.42831663,4.93042051e-06
0.42929860,3.41093954e-06
0.43028056,2.22805879e-06
0.43126253,1.42147411e-06
0.43224449,9.98360004e-07
0.43322645,9.34307672e-07
0.43420842,1.17695337e-06
0.43519038,1.65190707e-06
0.43617234,2.27040210e-06
0.43715431,2.93795164e-06
0.43813627,3.56322719e-06
0.43911824,4.06637363e-06
0.44010020,4.38604218e-06
0.44108216,4.48455053e-06
0.44206413,4.35075603e-06
0.44304609,4.00043666e-06
0.44402806,3.47419694e-06
0.44501002,2.83313306e-06
0.44599198,2.15268384e-06
0.44697395,1.51524613e-06
0.44795591,1.00223199e-06
0.44893788,6.86283587e-07
0.44991984,6.24336687e-07
