idx,name,formula,polymorph,pubchem_cid,smiles,inchikey,cas_number,molecular_weight,pubchem_formula_match,mp_id,mp_space_group,mp_energy_above_hull_ev,density_g_cm3,density_source,xray_energy_ev,xray_sld_real,xray_sld_imag,neutron_sld_real,neutron_sld_imag,strong_neutron_absorber,ri_shelf,ri_book,ri_wl_min_nm,ri_wl_max_nm,ri_page_primary,axis_primary,n_633,k_633,axis_2,n_633_axis2,k_633_axis2,ri_page_axis2,flags,axis_3,n_633_axis3,k_633_axis3,ri_page_axis3,density_citation_doi,density_citation_title,density_citation_authors,density_citation_journal,density_citation_year
15,Copper(II) oxide,CuO,tenorite,164827.0,[O-2].[Cu+2],KKCXRELNMOYFLS-UHFFFAOYSA-N,1317-38-0,79.55,True,mp-704645,C2/c (#15),0.0002646549999996,5.938478422275301,MP_DFT,8048.0,44.44010674282213,0.8125472645563254,6.0791728959448825,0.0004726146120993,False,main,CuO,10.0,35.0,Brimhall,none (isotropic/cubic/amorphous),,,,,,,"pubchem: 11 CAS numbers in PUG-View record, took first/primary (1317-38-0); [Brimhall] 633nm outside n range of main/CuO/nk/Brimhall.yml",,,,,,,,,
16,Copper(I) oxide,Cu2O,cuprite,18346908.0,O=[Cu].[Cu],BERDEBHAJNAUOM-UHFFFAOYSA-N,1317-39-1,143.09,True,mp-361,Pn-3m (#224),0.0,6.204947176738228,MP_DFT,8048.0,45.70044979501587,0.91913206685962,5.546577052325709,0.0005490219391352,False,main,Cu2O,2500.0,55556.0,Querry,none (isotropic/cubic/amorphous),,,,,,,"pubchem: 8 CAS numbers in PUG-View record, took first/primary (1317-39-1); [Querry] 633nm outside n range of main/Cu2O/nk/Querry.yml",,,,,,,,,
17,Dysprosium oxide,Dy2O3,bixbyite,159370.0,[O-2].[O-2].[O-2].[Dy+3].[Dy+3],GEZAXHSNIQTPMM-UHFFFAOYSA-N,1308-87-8,373.0,True,mp-2345,Ia-3 (#206),0.0,8.333958276713304,MP_DFT,8048.0,51.80063396000469,7.564351662397393,6.890662673180334,0.0743864284048171,True,main,Dy2O3,435.0,644.0,Medenbach,none (isotropic/cubic/amorphous),1.970075412015595,,,,,,"pubchem: 11 CAS numbers in PUG-View record, took first/primary (1308-87-8)",,,,,,,,,
18,Hematite,Fe2O3,hematite,,,,,,,mp-19770,R-3c (#167),0.0,5.143372290086497,MP_DFT,8048.0,40.37647052162073,3.5631918944256156,7.043178687352496,0.0002762027037575,False,main,Fe2O3,210.0,90909.0,Querry-o,ordinary (o),3.1251,0.0706,extraordinary (e),2.7925,0.1163,Querry-e,pubchem: not found by name,,,,,,,,,
19,Magnetite,Fe3O4,magnetite,,,,,,,mp-19306,Fd-3m (#227),0.0130592514285723,5.108710530073788,MP_DFT,8048.0,39.982428762042595,3.655149076794537,6.851826981315099,0.0002838164490695,False,main,Fe3O4,210.0,55556.0,Querry,none (isotropic/cubic/amorphous),2.3604000000000003,0.1470999999999999,,,,,pubchem: not found by name,,,,,,,,,
20,Germanium dioxide,GeO2,,90478414.0,[O-2].[O-2].[Ge+4],OLQSNYOQJMTVNH-UHFFFAOYSA-N,1310-53-8,104.63,True,,,,3.65,literature,8048.0,27.827802294268466,0.5843153310573451,4.158093995302573,0.0001285505233054,False,main,GeO2,360.0,4300.0,Fleming,none (isotropic/cubic/amorphous),1.6054402126061011,,,,,,"pubchem: 4 CAS numbers in PUG-View record, took first/primary (1310-53-8); no MP structure match. Density = 3.65 g/cm3 (literature: fused (vitreous) GeO2, commonly cited value). Verify before use.; RI.info default dataset is amorphous/glass",,,,,,,,,
21,Bismuth germanate,Bi12GeO20,BGO,,,,,,False,mp-23352,I23 (#197),0.0003902441414069,9.20431900783466,MP_DFT,8048.0,61.594966263316074,6.095620623893786,4.329635719514944,1.386785897348708e-05,False,main,Bi12GeO20,450.0,700.0,Simon,none (isotropic/cubic/amorphous),2.543833161713058,,,,,,"pubchem: formula mismatch (target=Bi12GeO20, pubchem=Bi4Ge3O12) -- pubchem fields NULLed",,,,,,,,,
22,Lead germanate,Pb5Ge3O11,,,,,,,False,mp-557340,P3 (#143),0.0,6.9296983074984,MP_DFT,8048.0,47.09556328692331,3.9315490330947065,3.95193054534568,6.05223306042395e-05,False,main,Pb5Ge3O11,450.0,700.0,Simon-o,ordinary (o),1.9112047157178969,,extraordinary (e),1.9239950843142093,,Simon-e,"pubchem: formula mismatch (target=Pb5Ge3O11, pubchem=GeO3Pb) -- pubchem fields NULLed",,,,,,,,,
23,Hafnium dioxide,HfO2,,292779.0,O=[Hf]=O,CJNBYAVZURUTKZ-UHFFFAOYSA-N,12055-23-1,210.48,True,mp-352,P2_1/c (#14),0.0,10.241243300471636,MP_DFT,8048.0,67.67877469252173,4.414052717836418,5.677798844151217,0.0084823683807474,False,main,HfO2,200.0,2000.0,Al-Kuhaili,none (isotropic/cubic/amorphous),1.8942856432582071,,,,,,"pubchem: 11 CAS numbers in PUG-View record, took first/primary (12055-23-1)",,,,,,,,,
24,Lithium iodate,LiIO3,,23687747.0,[Li+].[O-]I(=O)=O,FZAXZVHFYFGNBX-UHFFFAOYSA-M,13765-03-2,181.9,True,mp-22955,P6_3 (#173),0.0008651204999985,4.608385647207862,MP_DFT,8048.0,34.39221039057972,3.0259430262560176,3.168525046635747,0.0032531380238792,True,main,LiIO3,400.0,5700.0,Umegaki-o,ordinary (o),1.868389246363488,,extraordinary (e),1.7249192903772932,,Umegaki-e,"pubchem: 6 CAS numbers in PUG-View record, took first/primary (13765-03-2)",,,,,,,,,
25,Lutetium oxide,Lu2O3,bixbyite,4323797.0,O=[Lu]O[Lu]=O,MPARYNQUYZOBJM-UHFFFAOYSA-N,,397.932,True,mp-1427,Ia-3 (#206),0.0,9.784622907831332,MP_DFT,8048.0,63.68500624282685,4.237329742955365,4.724819711704409,0.0061059369996115,False,main,Lu2O3,435.0,644.0,Medenbach,none (isotropic/cubic/amorphous),1.9303262382006932,,,,,,,,,,,,,,,
26,LuAG,Lu3Al5O12,garnet,,,,,,,mp-14132,Ia-3d (#230),0.0,6.605561724297515,MP_DFT,8048.0,46.76913960536228,2.196776808823603,5.073327544282766,0.0029035753156183,False,main,Lu3Al5O12,193.0,1690.0,Hrabovsky,none (isotropic/cubic/amorphous),1.9891778825241335,,,,,,pubchem: not found by name,,,,,,,,,
27,Magnesium oxide,MgO,rock salt,14792.0,O=[Mg],CPLXHLVBOLITMK-UHFFFAOYSA-N,1309-48-4,40.305,True,mp-1265,Fm-3m (#225),0.0,3.6289033870223943,MP_DFT,8048.0,30.91298413111584,0.3283142568441493,6.061351359048245,9.528111497218282e-06,False,main,MgO,360.0,5400.0,Stephens,none (isotropic/cubic/amorphous),1.7220163120751817,,,,,,"pubchem: 24 CAS numbers in PUG-View record, took first/primary (1309-48-4)",,,,,,,,,
28,Molybdenum dioxide,MoO2,,29320.0,O=[Mo]=O,QXYJCZRRLLQGCR-UHFFFAOYSA-N,18868-43-4,127.95,True,mp-559140,P2_1/c (#14),0.1940157733333318,6.459388050249027,MP_DFT,8048.0,49.7581804554364,2.409296059449205,5.570460981357406,0.0002097042895951,False,main,MoO2,191.0,1688.0,Ganzhinov,none (isotropic/cubic/amorphous),1.7907126109716942,0.9728539940311725,,,,,"pubchem: 8 CAS numbers in PUG-View record, took first/primary (18868-43-4)",,,,,,,,,
29,Molybdenum trioxide,MoO3,,14802.0,O=[Mo](=O)=O,JKQOBWVOAYFWKG-UHFFFAOYSA-N,1313-27-5,143.95,True,mp-20589,Pnma (#62),0.0276256156249985,4.657567441309483,MP_DFT,8048.0,36.31203770471067,1.562654594182589,4.701046640492394,0.0001344123704914,False,main,MoO3,19.0,24797.0,Lajaunie-α,biaxial alpha (nα),2.1303501453287197,0.0057158932041522,biaxial beta (nβ),2.4871815501730103,0.0116007790311418,Lajaunie-β,"pubchem: 15 CAS numbers in PUG-View record, took first/primary (1313-27-5)",biaxial gamma (nγ),2.7390708996539797,0.0210996738408304,Lajaunie-γ,,,,,
30,Calcium molybdate,CaMoO4,scheelite,24620.0,[O-][Mo](=O)(=O)[O-].[Ca+2],BIOOACNPATUQFW-UHFFFAOYSA-N,7789-82-4,200.03,True,mp-19330,I4_1/a (#88),0.0,4.2688497001112,MP_DFT,8048.0,34.24890550806584,1.5182782099149097,4.450713532311092,0.0001040318625037,False,main,CaMoO4,450.0,3800.0,Bond-o,ordinary (o),1.9854387043729032,,extraordinary (e),1.9944382135713383,,Bond-e,"pubchem: 8 CAS numbers in PUG-View record, took first/primary (7789-82-4)",,,,,,,,,
31,Lead molybdate,PbMoO4,scheelite/wulfenite,61490.0,[O-][Mo](=O)(=O)[O-].[Pb+2],XJUNRGGMKUAPAP-UHFFFAOYSA-N,10190-55-3,367.0,True,mp-22169,I4_1/a (#88),0.0,6.813306032892219,MP_DFT,8048.0,48.01181740887449,3.7206550022630873,4.395600729449072,8.241087592453246e-05,False,main,PbMoO4,440.0,1080.0,Malitson-o,ordinary (o),2.385947615839617,,extraordinary (e),2.261553616609957,,Malitson-e,"pubchem: 6 CAS numbers in PUG-View record, took first/primary (10190-55-3)",,,,,,,,,
32,Strontium molybdate,SrMoO4,scheelite,,,,,,,mp-18834,I4_1/a (#88),0.0,4.692120685644747,MP_DFT,8048.0,35.96680245443425,1.5196674151751544,4.217364798457762,0.0001193672016293,False,main,SrMoO4,450.0,2400.0,Bond-o,ordinary (o),1.9025507880703276,,extraordinary (e),1.9068299950580203,,Bond-e,pubchem: not found by name,,,,,,,,,
