material_id,name,formula,MW_db,density_g_cm3,material_class,dielectric_real,dielectric_imag,diel_freq_hz,measurement_regime,n_633nm,k_633nm,n_785nm,k_785nm,xray_sld_real,neutron_sld_real,storage_modulus_pa,loss_modulus_pa,viscosity_mpa_s,BertzCT,MW,FractionCSP3,LogP,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeavyAtoms,NumRings,NumRotatableBonds,TPSA,h_bond_acceptors,h_bond_donors,rotatable_bonds,n2,f_LL,f_CM,molar_vol,f_LL_norm,f_CM_norm
15,TiO2,TiO2,79.866,4.23,oxide,86.0,0.01,1000.0,low_frequency,2.49,0.0001,2.44,0.0,3.415424745077717e-05,2.626912904067974e-06,,,,,79.866,0.0,,0.0,2.0,0.0,3.0,,0.0,,,,,6.200100000000001,0.6341508030389874,0.9659090909090909,18.880851063829784,0.033586981905377976,0.051158133054684786
16,PDMS,(C2H6OSi)n,74.148,0.97,polymer,,,,,1.41,,1.407,,8.880041077671863e-06,6.306443825900353e-08,1000000.0,100000.0,5.0,78.11156720155853,74.148,1.0,1.5319999999999998,0.0,2.0,1.0,9.0,,2.0,29.46,,,,1.9880999999999998,0.24776209222436746,,76.44123711340205,0.003241209870227605,
17,PEI,(C2H5N)n,43.068,1.03,polymer,3.8,0.04,1000.0,low_frequency,1.52,,,,9.74039238454886e-06,5.687488826292653e-07,,,,26.115877901113386,43.068,1.0,-1.506599999999999,0.0,3.0,3.0,7.0,,4.0,64.07,,,,2.3104,0.30400890868596886,0.48275862068965514,41.81359223300971,0.007270576203829942,0.011545495015100419
18,BSA,C2929H4624N786O892S39,66432.0,1.35,biological,4.0,0.2,1000.0,low_frequency,1.45,,1.447,,1.2228631629922841e-05,1.8129082757950174e-06,,,,,66432.0,,,,,,,,,,,,,2.1025,0.2687385740402194,0.5,49208.88888888888,5.4611794760702106e-06,1.0160765895953759e-05
20,ITO,In18SnO29,2649.4,7.12,oxide,,,,,1.8,0.055,1.875,0.035,5.308454904985761e-05,4.0084623605927525e-06,116000000000.0,,,,2649.4,0.0,,0.0,0.0,0.0,3.0,,0.0,,,,,3.24,0.4274809160305344,,372.10674157303373,0.0011488126074346663,
21,Chromium,Cr,51.996,7.19,metal,-10.7,20.7,300000000000000.0,optical_frequency,3.18,3.33,3.47,3.68,5.6318734491443786e-05,3.027012907802408e-06,,,,0.0,51.996,0.0,-0.0025,0.0,0.0,0.0,1.0,,0.0,0.0,,,,10.112400000000001,0.7523199365939038,1.3448275862068966,7.231710709318498,0.104030701286833,0.18596258067596713
22,Silver,Ag,107.868,10.49,metal,-15.0,0.4,300000000000000.0,optical_frequency,0.135,3.99,,,7.756457372856987e-05,3.4681842939681165e-06,,,,0.0,107.868,0.0,-0.0025,0.0,0.0,0.0,1.0,,0.0,0.0,,,,0.018225,-0.4864546817128912,1.2307692307692308,10.282936129647283,-0.047306982711909265,0.11969044786933318
24,PTFE,C2F4,100.02,2.2,polymer,2.1,,1000.0,low_frequency,1.35,,,,1.7916771641381447e-05,4.756395389943772e-06,,,,55.61727061434748,100.02,0.0,1.991,0.0,0.0,0.0,6.0,,0.0,0.0,,,,1.8225000000000002,0.2151733158927404,0.26829268292682934,45.46363636363636,0.004732866376365016,0.005901258772635719
25,PEEK,C19H12O3,288.3,1.32,polymer,3.2,,1000.0,low_frequency,1.65,,,,1.165475741136168e-05,2.724072572347508e-06,,,,731.898776167196,288.3,0.0,5.083700000000004,3.0,3.0,0.0,22.0,,5.0,35.53,,,,2.7224999999999997,0.36474325039703537,0.4230769230769231,218.4090909090909,0.0016700003139926698,0.001937084767469783
26,PVA,C2H4O,44.05,1.27,polymer,10.8,,1000.0,low_frequency,1.5,,,,1.1742261296332343e-05,7.175168129186269e-07,,,,10.264662506490406,44.05,0.0,0.6879,0.0,1.0,1.0,3.0,,0.0,20.23,,,,2.25,0.29411764705882354,0.765625,34.68503937007874,0.008479668825532484,0.022073637911464244
